index,image_path,map_50_95,n_true,n_pred,count_error,median_diameter_px,contact_fraction,mean_intensity,contrast_std,gt_merged,gt_split
52,data/raw/03f583ec5018739f4abb9b3b4a580ac43bd933c4337ad8877aa18b1dfb59fc9a/images/03f583ec5018739f4abb9b3b4a580ac43bd933c4337ad8877aa18b1dfb59fc9a.png,0.6740834845735028,17,17,0,36.19618062078487,0.00011109259567849802,0.04300650954246521,0.03256615251302719,0,1
42,data/raw/a7a581e6760df4701941670e73d72533e3b0fbd7563488ad92772b41f7709710/images/a7a581e6760df4701941670e73d72533e3b0fbd7563488ad92772b41f7709710.png,0.6946182295699139,124,114,10,11.753542324208212,0.026973169169454133,0.0427151583135128,0.058277010917663574,16,0
58,data/raw/3f9fc8e63f87e8a56d3eaef7db26f1b6db874d19f12abd5a752821b78d47661e/images/3f9fc8e63f87e8a56d3eaef7db26f1b6db874d19f12abd5a752821b78d47661e.png,0.7113829257829963,156,133,23,11.86137637592854,0.0226501868352975,0.05892615392804146,0.07224442064762115,10,0
17,data/raw/1609b1b8480ee52652a644403b3f7d5511410a016750aa3b9a4c8ddb3e893e8e/images/1609b1b8480ee52652a644403b3f7d5511410a016750aa3b9a4c8ddb3e893e8e.png,0.7217532467532467,19,18,1,35.088782249586586,0.00465772759350741,0.0351773165166378,0.029430316761136055,0,1
1,data/raw/ea00f5a91ca75e745d675201cc62d7db266f8e2787033e15a7dd5f1cc5c0ad72/images/ea00f5a91ca75e745d675201cc62d7db266f8e2787033e15a7dd5f1cc5c0ad72.png,0.7324846479847777,40,36,4,12.716088854890051,0.007456503728251864,0.03852120414376259,0.06768327206373215,4,0
47,data/raw/1a75de9e11303142864efed27e69ea1960dbd82ca910de221a777ed2caf35a6b/images/1a75de9e11303142864efed27e69ea1960dbd82ca910de221a777ed2caf35a6b.png,0.7379653679653679,20,18,2,34.01889319468279,0.008371754428536764,0.04325789213180542,0.03680552914738655,2,0
27,data/raw/f113626a04125d97b27f21b45a0ce9a686d73dee7b5dbc0725d49194ba0203bd/images/f113626a04125d97b27f21b45a0ce9a686d73dee7b5dbc0725d49194ba0203bd.png,0.7414039131600108,24,22,2,33.253665270754446,0.005415246720507913,0.051451921463012695,0.03774052858352661,2,0
37,data/raw/66612c188d73e931e1863af2c99d2af782c32f65fd97d224abb40bbadb87263f/images/66612c188d73e931e1863af2c99d2af782c32f65fd97d224abb40bbadb87263f.png,0.7577450980392157,15,13,2,18.19456736586892,0.0,0.07535478472709656,0.07093930244445801,0,0
51,data/raw/b6c9b58de0388891221b8f7a83cbf0b8f8379b51b5c9a127bf43a4fc49f1cc48/images/b6c9b58de0388891221b8f7a83cbf0b8f8379b51b5c9a127bf43a4fc49f1cc48.png,0.7614035087719297,18,15,3,32.84456358999958,0.006060606060606061,0.04165026918053627,0.03181300684809685,2,0
56,data/raw/e5aeb5b3577abbebe8982b5dd7d22c4257250ad3000661a42f38bf9248d291fd/images/e5aeb5b3577abbebe8982b5dd7d22c4257250ad3000661a42f38bf9248d291fd.png,0.7666666666666666,2,2,0,11.025131857570342,0.07329842931937172,0.05379381403326988,0.039129141718149185,0,0
5,data/raw/6f8197baf738986a1ec3b6ba92b567863d897a739376b7cec5599ad6cecafdfc/images/6f8197baf738986a1ec3b6ba92b567863d897a739376b7cec5599ad6cecafdfc.png,0.7678011643528885,20,20,0,21.66072087164652,0.0023074704355350445,0.08662188053131104,0.0994204506278038,0,1
13,data/raw/5bda829acd824821bc1f3f6573cf065d364653d5322f033a4af943f7a6170566/images/5bda829acd824821bc1f3f6573cf065d364653d5322f033a4af943f7a6170566.png,0.7806249999999999,20,17,3,33.61499257843191,0.0021908471275559884,0.032048244029283524,0.0291138906031847,0,0
20,data/raw/49edc2f7715100fb0390916e52b3fd11a921f02e59509dc987f67840a36250fc/images/49edc2f7715100fb0390916e52b3fd11a921f02e59509dc987f67840a36250fc.png,0.792306053705109,70,64,6,13.061933202803933,0.006804190517334485,0.02806827425956726,0.04915239289402962,4,0
40,data/raw/07761fa39f60dc37022dbbe8d8694595fd5b77ceb2af2a2724768c8e524d6770/images/07761fa39f60dc37022dbbe8d8694595fd5b77ceb2af2a2724768c8e524d6770.png,0.8095238095238095,5,5,0,10.585134856802455,0.0,0.05355362594127655,0.04750770702958107,0,0
66,data/raw/f67e72b7fe0b1e3648ea745ffd395c80705c89b0c0c48227991fe6f5815b2a18/images/f67e72b7fe0b1e3648ea745ffd395c80705c89b0c0c48227991fe6f5815b2a18.png,0.8253968253968255,12,11,1,14.712200725169735,0.0,0.06297314167022705,0.04856814816594124,0,0
38,data/raw/797945873ca2a95f028671714b71eb3f883efe9dae7fcd3fc0ea1521efb73aaa/images/797945873ca2a95f028671714b71eb3f883efe9dae7fcd3fc0ea1521efb73aaa.png,0.8338990278014669,22,21,1,34.39219021233866,0.004285178638384487,0.050049904733896255,0.03739454969763756,0,0
12,data/raw/0e5edb072788c7b1da8829b02a49ba25668b09f7201cf2b70b111fc3b853d14f/images/0e5edb072788c7b1da8829b02a49ba25668b09f7201cf2b70b111fc3b853d14f.png,0.8796888141295206,28,28,0,17.88666772468767,0.0014216661927779358,0.08049508184194565,0.07026505470275879,0,0
61,data/raw/9a71a416f98971aa14f63ef91242654cc9191a1414ce8bbd38066fe94559aa4f/images/9a71a416f98971aa14f63ef91242654cc9191a1414ce8bbd38066fe94559aa4f.png,0.9246753246753248,10,10,0,12.487594113465816,0.0012953367875647669,0.01949744112789631,0.027781840413808823,0,0
